Entity,Code,Year,Deaths - Opioid use disorders - Sex: Both - Age: All Ages (Number),Deaths - Cocaine use disorders - Sex: Both - Age: All Ages (Number),Deaths - Other drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Amphetamine use disorders - Sex: Both - Age: All Ages (Number)
Saint Vincent and the Grenadines,VCT,2008,0,0,0,0
Saint Vincent and the Grenadines,VCT,2009,0,0,0,0
Saint Vincent and the Grenadines,VCT,2010,0,0,0,0
Saint Vincent and the Grenadines,VCT,2011,0,0,0,0
Saint Vincent and the Grenadines,VCT,2012,0,0,0,0
Saint Vincent and the Grenadines,VCT,2013,0,0,0,0
Saint Vincent and the Grenadines,VCT,2014,0,0,0,0
Saint Vincent and the Grenadines,VCT,2015,0,0,0,0
Saint Vincent and the Grenadines,VCT,2016,0,0,0,0
Saint Vincent and the Grenadines,VCT,2017,0,0,0,0
Saint Vincent and the Grenadines,VCT,2018,0,0,0,0
Saint Vincent and the Grenadines,VCT,2019,0,0,0,0
Samoa,WSM,1990,0,0,0,0
Samoa,WSM,1991,1,0,0,0
Samoa,WSM,1992,1,0,0,0
Samoa,WSM,1993,1,0,0,0
Samoa,WSM,1994,1,0,0,0
Samoa,WSM,1995,1,0,0,0
Samoa,WSM,1996,1,0,0,0
Samoa,WSM,1997,1,0,0,0
Samoa,WSM,1998,1,0,0,0
Samoa,WSM,1999,1,0,0,0
Samoa,WSM,2000,1,0,0,0
Samoa,WSM,2001,1,0,0,0
Samoa,WSM,2002,1,0,0,0
Samoa,WSM,2003,1,0,0,0
Samoa,WSM,2004,1,0,0,0
Samoa,WSM,2005,1,0,0,0
Samoa,WSM,2006,1,0,0,0
Samoa,WSM,2007,1,0,0,0
Samoa,WSM,2008,1,0,0,0
Samoa,WSM,2009,1,0,0,0
Samoa,WSM,2010,1,0,0,0
Samoa,WSM,2011,1,0,0,0
Samoa,WSM,2012,1,0,0,0
Samoa,WSM,2013,1,0,0,0
Samoa,WSM,2014,1,0,0,0
Samoa,WSM,2015,1,0,0,0
Samoa,WSM,2016,1,0,0,0
Samoa,WSM,2017,1,0,0,0
Samoa,WSM,2018,1,0,0,0
Samoa,WSM,2019,1,0,0,0
San Marino,SMR,1990,0,0,0,0
San Marino,SMR,1991,0,0,0,0
San Marino,SMR,1992,0,0,0,0
San Marino,SMR,1993,0,0,0,0
San Marino,SMR,1994,0,0,0,0
San Marino,SMR,1995,0,0,0,0
San Marino,SMR,1996,0,0,0,0
San Marino,SMR,1997,0,0,0,0
San Marino,SMR,1998,0,0,0,0
San Marino,SMR,1999,0,0,0,0
San Marino,SMR,2000,0,0,0,0
San Marino,SMR,2001,0,0,0,0
San Marino,SMR,2002,0,0,0,0
San Marino,SMR,2003,0,0,0,0
San Marino,SMR,2004,0,0,0,0
San Marino,SMR,2005,0,0,0,0
San Marino,SMR,2006,0,0,0,0
San Marino,SMR,2007,0,0,0,0
San Marino,SMR,2008,0,0,0,0
San Marino,SMR,2009,0,0,0,0
San Marino,SMR,2010,0,0,0,0
San Marino,SMR,2011,0,0,0,0
San Marino,SMR,2012,0,0,0,0
San Marino,SMR,2013,0,0,0,0
San Marino,SMR,2014,0,0,0,0
San Marino,SMR,2015,0,0,0,0
San Marino,SMR,2016,0,0,0,0
San Marino,SMR,2017,0,0,0,0
San Marino,SMR,2018,0,0,0,0
San Marino,SMR,2019,0,0,0,0
Sao Tome and Principe,STP,1990,0,0,0,0
Sao Tome and Principe,STP,1991,0,0,0,0
Sao Tome and Principe,STP,1992,0,0,0,0
Sao Tome and Principe,STP,1993,0,0,0,0
Sao Tome and Principe,STP,1994,0,0,0,0
Sao Tome and Principe,STP,1995,0,0,0,0
Sao Tome and Principe,STP,1996,0,0,0,0
Sao Tome and Principe,STP,1997,0,0,0,0
Sao Tome and Principe,STP,1998,0,0,0,0
Sao Tome and Principe,STP,1999,0,0,0,0
Sao Tome and Principe,STP,2000,0,0,0,0
Sao Tome and Principe,STP,2001,0,0,0,0
Sao Tome and Principe,STP,2002,0,0,0,0
Sao Tome and Principe,STP,2003,0,0,0,0
Sao Tome and Principe,STP,2004,0,0,0,0
Sao Tome and Principe,STP,2005,0,0,0,0
Sao Tome and Principe,STP,2006,0,0,0,0
Sao Tome and Principe,STP,2007,0,0,0,0
Sao Tome and Principe,STP,2008,0,0,0,0
Sao Tome and Principe,STP,2009,0,0,0,0
Sao Tome and Principe,STP,2010,0,0,0,0
Sao Tome and Principe,STP,2011,0,0,0,0
Sao Tome and Principe,STP,2012,0,0,0,0
Sao Tome and Principe,STP,2013,1,0,0,0
Sao Tome and Principe,STP,2014,1,0,0,0
Sao Tome and Principe,STP,2015,1,0,0,0
Sao Tome and Principe,STP,2016,1,0,0,0
Sao Tome and Principe,STP,2017,1,0,0,0
Sao Tome and Principe,STP,2018,1,0,0,0
Sao Tome and Principe,STP,2019,1,0,0,0
Saudi Arabia,SAU,1990,42,5,3,3
Saudi Arabia,SAU,1991,46,5,4,3
Saudi Arabia,SAU,1992,50,6,4,3
Saudi Arabia,SAU,1993,55,7,5,3
Saudi Arabia,SAU,1994,60,7,5,4
Saudi Arabia,SAU,1995,64,8,6,4
Saudi Arabia,SAU,1996,70,9,7,5
Saudi Arabia,SAU,1997,76,10,7,5
Saudi Arabia,SAU,1998,81,11,8,5
Saudi Arabia,SAU,1999,88,12,9,6
Saudi Arabia,SAU,2000,96,13,10,7
Saudi Arabia,SAU,2001,96,13,10,7
Saudi Arabia,SAU,2002,107,14,11,7
Saudi Arabia,SAU,2003,107,14,11,7
Saudi Arabia,SAU,2004,89,12,10,6
Saudi Arabia,SAU,2005,85,12,10,6
Saudi Arabia,SAU,2006,85,12,11,6
Saudi Arabia,SAU,2007,87,12,11,6
Saudi Arabia,SAU,2008,91,13,12,6
Saudi Arabia,SAU,2009,85,12,12,6
Saudi Arabia,SAU,2010,83,11,13,6
Saudi Arabia,SAU,2011,66,10,13,5
Saudi Arabia,SAU,2012,67,10,13,5
Saudi Arabia,SAU,2013,81,12,15,6
Saudi Arabia,SAU,2014,91,13,16,7
Saudi Arabia,SAU,2015,100,15,18,7
Saudi Arabia,SAU,2016,110,17,20,8
Saudi Arabia,SAU,2017,121,19,22,9
Saudi Arabia,SAU,2018,131,21,23,10
Saudi Arabia,SAU,2019,141,23,25,11
Scotland,,1990,44,3,18,4
Scotland,,1991,50,3,20,4
Scotland,,1992,57,3,21,5
Scotland,,1993,70,3,22,5
Scotland,,1994,89,3,23,5
Scotland,,1995,105,3,26,6
Scotland,,1996,125,4,27,6
Scotland,,1997,139,4,29,6
Scotland,,1998,159,5,32,7
Scotland,,1999,184,6,34,8
Scotland,,2000,203,6,30,8
Scotland,,2001,215,7,31,9
Scotland,,2002,229,8,32,10
Scotland,,2003,225,9,30,10
Scotland,,2004,229,9,29,10
Scotland,,2005,237,10,30,11
Scotland,,2006,267,12,36,13
Scotland,,2007,290,13,40,15
Scotland,,2008,308,14,44,16
Scotland,,2009,311,14,45,16
Scotland,,2010,310,14,48,16
Scotland,,2011,309,14,53,17
Scotland,,2012,310,14,55,17
Scotland,,2013,312,15,57,17
Scotland,,2014,324,16,58,17
Scotland,,2015,353,17,65,19
Scotland,,2016,385,19,73,22
Scotland,,2017,384,20,75,24
Scotland,,2018,384,20,75,24
Scotland,,2019,387,20,75,25
Senegal,SEN,1990,7,0,1,0
Senegal,SEN,1991,7,0,1,0
Senegal,SEN,1992,7,0,1,0
Senegal,SEN,1993,7,0,1,0
Senegal,SEN,1994,8,0,1,0
Senegal,SEN,1995,8,0,1,0
Senegal,SEN,1996,8,0,1,0
Senegal,SEN,1997,8,0,1,0
Senegal,SEN,1998,8,0,1,0
Senegal,SEN,1999,8,0,1,0
Senegal,SEN,2000,7,0,1,0
Senegal,SEN,2001,9,0,2,0
Senegal,SEN,2002,10,0,2,0
Senegal,SEN,2003,9,0,1,0
Senegal,SEN,2004,10,0,1,0
Senegal,SEN,2005,10,0,1,0
Senegal,SEN,2006,10,0,1,0
Senegal,SEN,2007,11,0,2,0
Senegal,SEN,2008,11,0,2,0
Senegal,SEN,2009,12,0,2,0
Senegal,SEN,2010,11,0,2,0
Senegal,SEN,2011,12,0,2,0
Senegal,SEN,2012,12,0,2,0
Senegal,SEN,2013,13,0,2,0
Senegal,SEN,2014,14,0,2,0
Senegal,SEN,2015,15,0,2,0
Senegal,SEN,2016,16,0,2,0
Senegal,SEN,2017,16,0,2,0
Senegal,SEN,2018,17,0,2,0
Senegal,SEN,2019,17,0,2,0
Serbia,SRB,1990,24,1,6,2
Serbia,SRB,1991,25,1,6,2
Serbia,SRB,1992,25,1,6,2
Serbia,SRB,1993,25,1,6,2
Serbia,SRB,1994,26,1,6,2
Serbia,SRB,1995,27,1,7,2
Serbia,SRB,1996,27,1,7,2
Serbia,SRB,1997,28,1,7,2
Serbia,SRB,1998,24,1,6,2
Serbia,SRB,1999,27,1,6,2
Serbia,SRB,2000,31,1,7,2
Serbia,SRB,2001,34,1,7,2
Serbia,SRB,2002,34,1,8,2
Serbia,SRB,2003,38,1,9,3
Serbia,SRB,2004,46,1,9,3
Serbia,SRB,2005,54,2,10,3
Serbia,SRB,2006,56,2,11,3
Serbia,SRB,2007,60,2,11,3
Serbia,SRB,2008,63,2,11,4
Serbia,SRB,2009,62,2,11,3
Serbia,SRB,2010,55,2,11,3
Serbia,SRB,2011,50,2,10,3
Serbia,SRB,2012,48,2,10,3
Serbia,SRB,2013,46,2,11,3
Serbia,SRB,2014,46,2,11,2
Serbia,SRB,2015,44,2,12,2
Serbia,SRB,2016,43,2,12,2
Serbia,SRB,2017,47,2,12,3
Serbia,SRB,2018,50,2,13,3
Serbia,SRB,2019,52,2,14,3
Seychelles,SYC,1990,0,0,0,0
Seychelles,SYC,1991,0,0,0,0
Seychelles,SYC,1992,0,0,0,0
Seychelles,SYC,1993,0,0,0,0
Seychelles,SYC,1994,0,0,0,0
Seychelles,SYC,1995,0,0,0,0
Seychelles,SYC,1996,0,0,0,0
Seychelles,SYC,1997,0,0,0,0
Seychelles,SYC,1998,0,0,0,0
Seychelles,SYC,1999,0,0,0,0
Seychelles,SYC,2000,0,0,0,0
Seychelles,SYC,2001,0,0,0,0
Seychelles,SYC,2002,0,0,0,0
Seychelles,SYC,2003,0,0,0,0
Seychelles,SYC,2004,0,0,0,0
Seychelles,SYC,2005,0,0,0,0
Seychelles,SYC,2006,0,0,0,0
Seychelles,SYC,2007,0,0,0,0
Seychelles,SYC,2008,0,0,0,0
Seychelles,SYC,2009,0,0,0,0
Seychelles,SYC,2010,0,0,0,0
Seychelles,SYC,2011,0,0,0,0
Seychelles,SYC,2012,0,0,0,0
Seychelles,SYC,2013,0,0,0,0
Seychelles,SYC,2014,0,0,0,0
Seychelles,SYC,2015,0,0,0,0
Seychelles,SYC,2016,0,0,0,0
Seychelles,SYC,2017,1,0,0,0
Seychelles,SYC,2018,1,0,0,0
Seychelles,SYC,2019,1,0,0,0
Sierra Leone,SLE,1990,3,0,1,0
Sierra Leone,SLE,1991,3,0,1,0
Sierra Leone,SLE,1992,3,0,1,0
Sierra Leone,SLE,1993,3,0,1,0
Sierra Leone,SLE,1994,3,0,1,0
Sierra Leone,SLE,1995,3,0,1,0
Sierra Leone,SLE,1996,3,0,1,0
Sierra Leone,SLE,1997,3,0,1,0
Sierra Leone,SLE,1998,3,0,1,0
Sierra Leone,SLE,1999,3,0,1,0
Sierra Leone,SLE,2000,3,0,1,0
Sierra Leone,SLE,2001,3,0,1,0
Sierra Leone,SLE,2002,4,0,1,0
Sierra Leone,SLE,2003,4,0,1,0
Sierra Leone,SLE,2004,4,0,1,0
Sierra Leone,SLE,2005,4,0,1,0
Sierra Leone,SLE,2006,5,0,1,0
Sierra Leone,SLE,2007,5,0,1,0
Sierra Leone,SLE,2008,5,0,1,0
Sierra Leone,SLE,2009,5,0,1,0
Sierra Leone,SLE,2010,5,0,1,0
Sierra Leone,SLE,2011,6,0,1,0
Sierra Leone,SLE,2012,6,0,1,0
Sierra Leone,SLE,2013,6,0,1,0
Sierra Leone,SLE,2014,7,0,1,0
Sierra Leone,SLE,2015,7,0,1,0
Sierra Leone,SLE,2016,8,0,1,0
Sierra Leone,SLE,2017,8,0,1,0
Sierra Leone,SLE,2018,9,0,1,0
Sierra Leone,SLE,2019,9,0,1,0
Singapore,SGP,1990,3,0,0,0
Singapore,SGP,1991,3,0,0,0
Singapore,SGP,1992,4,0,0,0
Singapore,SGP,1993,4,0,1,0
Singapore,SGP,1994,4,0,1,0
Singapore,SGP,1995,4,0,1,0
Singapore,SGP,1996,4,0,1,0
Singapore,SGP,1997,5,0,1,0
Singapore,SGP,1998,4,0,1,0
Singapore,SGP,1999,4,0,1,0
Singapore,SGP,2000,4,0,1,0
Singapore,SGP,2001,4,0,1,0
Singapore,SGP,2002,4,0,1,0
Singapore,SGP,2003,4,0,1,0
Singapore,SGP,2004,5,0,1,0
Singapore,SGP,2005,6,1,1,0
Singapore,SGP,2006,7,1,1,0
Singapore,SGP,2007,7,1,1,0
Singapore,SGP,2008,8,1,1,0
Singapore,SGP,2009,7,1,2,0
Singapore,SGP,2010,8,1,2,0
Singapore,SGP,2011,9,1,2,1
Singapore,SGP,2012,10,1,2,1
Singapore,SGP,2013,10,1,2,1
Singapore,SGP,2014,10,1,2,1
Singapore,SGP,2015,11,1,2,1
Singapore,SGP,2016,11,1,2,1
Singapore,SGP,2017,11,1,2,1
Singapore,SGP,2018,11,1,2,1
Singapore,SGP,2019,11,1,3,1
Slovakia,SVK,1990,34,1,4,2
Slovakia,SVK,1991,34,1,4,2
Slovakia,SVK,1992,33,1,4,2
Slovakia,SVK,1993,35,1,4,2
Slovakia,SVK,1994,37,1,4,2
Slovakia,SVK,1995,40,1,5,2
Slovakia,SVK,1996,40,1,4,2
Slovakia,SVK,1997,44,1,5,3
Slovakia,SVK,1998,43,1,5,2
Slovakia,SVK,1999,39,1,5,2
Slovakia,SVK,2000,37,1,5,2
Slovakia,SVK,2001,33,1,4,2
Slovakia,SVK,2002,30,1,4,2
Slovakia,SVK,2003,26,1,4,2
Slovakia,SVK,2004,23,1,4,1
Slovakia,SVK,2005,19,1,4,1
Slovakia,SVK,2006,15,1,4,1
Slovakia,SVK,2007,14,1,4,1
Slovakia,SVK,2008,16,1,4,1
Slovakia,SVK,2009,16,1,4,1
Slovakia,SVK,2010,15,1,4,1
Slovakia,SVK,2011,15,1,4,1
Slovakia,SVK,2012,15,1,4,1
Slovakia,SVK,2013,15,1,4,1
Slovakia,SVK,2014,15,1,4,1
Slovakia,SVK,2015,15,1,4,1
Slovakia,SVK,2016,14,1,3,1
Slovakia,SVK,2017,14,1,3,1
Slovakia,SVK,2018,14,1,3,1
Slovakia,SVK,2019,14,1,3,1
Slovenia,SVN,1990,4,0,1,0
Slovenia,SVN,1991,4,0,1,0
Slovenia,SVN,1992,4,0,1,0
Slovenia,SVN,1993,5,0,1,0
Slovenia,SVN,1994,5,0,1,0
Slovenia,SVN,1995,7,0,1,0
Slovenia,SVN,1996,8,0,1,0
Slovenia,SVN,1997,10,0,2,0
Slovenia,SVN,1998,11,0,2,0
Slovenia,SVN,1999,13,1,3,1
Slovenia,SVN,2000,13,1,3,1
Slovenia,SVN,2001,15,1,3,1
Slovenia,SVN,2002,15,1,4,1
Slovenia,SVN,2003,15,1,4,1
Slovenia,SVN,2004,16,1,4,1
Slovenia,SVN,2005,16,1,4,2
Slovenia,SVN,2006,17,1,5,2
Slovenia,SVN,2007,20,1,5,2
Slovenia,SVN,2008,22,1,4,2
Slovenia,SVN,2009,22,1,4,1
Slovenia,SVN,2010,22,1,3,1
Slovenia,SVN,2011,21,1,3,1
Slovenia,SVN,2012,21,1,3,1
Slovenia,SVN,2013,21,1,3,1
Slovenia,SVN,2014,19,1,3,1
Slovenia,SVN,2015,21,1,3,1
Slovenia,SVN,2016,20,1,3,1
Slovenia,SVN,2017,21,1,4,1
Slovenia,SVN,2018,21,1,4,1
Slovenia,SVN,2019,22,1,4,1
Solomon Islands,SLB,1990,1,0,0,0
Solomon Islands,SLB,1991,1,0,0,0
Solomon Islands,SLB,1992,1,0,0,0
Solomon Islands,SLB,1993,1,0,0,0
Solomon Islands,SLB,1994,1,0,0,0
Solomon Islands,SLB,1995,2,0,0,0
Solomon Islands,SLB,1996,2,0,0,0
Solomon Islands,SLB,1997,2,0,0,0
Solomon Islands,SLB,1998,2,0,0,0
Solomon Islands,SLB,1999,2,0,0,0
Solomon Islands,SLB,2000,2,0,0,0
Solomon Islands,SLB,2001,2,0,0,0
Solomon Islands,SLB,2002,2,0,0,0
Solomon Islands,SLB,2003,2,0,0,0
Solomon Islands,SLB,2004,2,0,0,0
Solomon Islands,SLB,2005,2,0,0,0
Solomon Islands,SLB,2006,2,0,0,0
Solomon Islands,SLB,2007,2,0,0,0
Solomon Islands,SLB,2008,2,0,0,0
Solomon Islands,SLB,2009,2,0,0,0
Solomon Islands,SLB,2010,2,0,0,0
Solomon Islands,SLB,2011,3,0,0,0
Solomon Islands,SLB,2012,3,0,0,0
Solomon Islands,SLB,2013,3,0,0,0
Solomon Islands,SLB,2014,3,0,0,0
Solomon Islands,SLB,2015,3,0,0,0
Solomon Islands,SLB,2016,3,0,0,0
Solomon Islands,SLB,2017,3,0,0,0
Solomon Islands,SLB,2018,3,0,0,0
Solomon Islands,SLB,2019,3,0,1,0
Somalia,SOM,1990,5,0,2,0
Somalia,SOM,1991,5,0,2,0
Somalia,SOM,1992,5,0,2,0
Somalia,SOM,1993,5,0,2,0
Somalia,SOM,1994,5,0,2,0
Somalia,SOM,1995,6,0,2,0
Somalia,SOM,1996,6,0,2,0
Somalia,SOM,1997,6,0,2,0
Somalia,SOM,1998,6,0,2,0
Somalia,SOM,1999,6,0,2,0
Somalia,SOM,2000,6,0,2,0
Somalia,SOM,2001,7,0,2,0
Somalia,SOM,2002,7,0,2,0
Somalia,SOM,2003,7,0,2,0
Somalia,SOM,2004,8,0,2,0
Somalia,SOM,2005,8,0,2,0
Somalia,SOM,2006,9,0,2,0
Somalia,SOM,2007,9,0,2,0
Somalia,SOM,2008,10,0,2,0
Somalia,SOM,2009,11,1,3,0
Somalia,SOM,2010,11,1,3,0
Somalia,SOM,2011,12,1,3,0
Somalia,SOM,2012,12,1,3,0
Somalia,SOM,2013,13,1,3,0
Somalia,SOM,2014,14,1,3,0
Somalia,SOM,2015,15,1,3,0
Somalia,SOM,2016,16,1,4,0
Somalia,SOM,2017,16,1,4,0
Somalia,SOM,2018,17,1,4,0
Somalia,SOM,2019,18,1,4,0
South Africa,ZAF,1990,117,22,110,7
South Africa,ZAF,1991,123,23,117,7
South Africa,ZAF,1992,136,26,134,8
South Africa,ZAF,1993,130,25,125,8
South Africa,ZAF,1994,138,26,133,8
South Africa,ZAF,1995,140,28,134,9
South Africa,ZAF,1996,135,27,131,8
South Africa,ZAF,1997,150,32,155,10
South Africa,ZAF,1998,150,31,155,10
South Africa,ZAF,1999,139,28,155,9
South Africa,ZAF,2000,134,29,173,9
South Africa,ZAF,2001,116,28,175,9
South Africa,ZAF,2002,120,26,170,9
South Africa,ZAF,2003,120,25,168,9
South Africa,ZAF,2004,114,23,160,10
South Africa,ZAF,2005,108,22,148,9
South Africa,ZAF,2006,107,22,138,10
South Africa,ZAF,2007,107,21,117,9
South Africa,ZAF,2008,118,20,93,9
South Africa,ZAF,2009,115,20,78,9
South Africa,ZAF,2010,108,19,64,8
South Africa,ZAF,2011,99,17,51,7
South Africa,ZAF,2012,94,16,45,7
South Africa,ZAF,2013,89,15,41,7
South Africa,ZAF,2014,86,15,38,6
South Africa,ZAF,2015,81,14,36,6
South Africa,ZAF,2016,75,13,33,5
South Africa,ZAF,2017,70,12,33,5
South Africa,ZAF,2018,68,11,32,5
South Africa,ZAF,2019,67,11,32,5
South Asia - World Bank region,,1990,3233,164,655,112
South Asia - World Bank region,,1991,3286,166,670,114
South Asia - World Bank region,,1992,3344,168,680,116
South Asia - World Bank region,,1993,3453,174,714,119
South Asia - World Bank region,,1994,3595,183,757,125
South Asia - World Bank region,,1995,3678,188,782,129
South Asia - World Bank region,,1996,3861,201,834,137
South Asia - World Bank region,,1997,4218,227,929,154
South Asia - World Bank region,,1998,4408,241,985,163
South Asia - World Bank region,,1999,4574,254,1029,173
South Asia - World Bank region,,2000,4686,263,1063,179
South Asia - World Bank region,,2001,4805,272,1110,184
South Asia - World Bank region,,2002,4932,283,1158,190
South Asia - World Bank region,,2003,5031,292,1189,196
South Asia - World Bank region,,2004,5181,306,1241,206
South Asia - World Bank region,,2005,5677,341,1398,230
South Asia - World Bank region,,2006,5493,336,1380,225
South Asia - World Bank region,,2007,5476,345,1401,229
South Asia - World Bank region,,2008,5483,354,1436,234
South Asia - World Bank region,,2009,5538,367,1474,243
South Asia - World Bank region,,2010,5562,376,1486,247
South Asia - World Bank region,,2011,5566,380,1488,248
South Asia - World Bank region,,2012,5416,376,1474,245
South Asia - World Bank region,,2013,5755,400,1612,259
South Asia - World Bank region,,2014,5862,407,1669,263
South Asia - World Bank region,,2015,6123,427,1749,273
South Asia - World Bank region,,2016,6355,449,1842,286
South Asia - World Bank region,,2017,6559,466,1921,296
South Asia - World Bank region,,2018,6908,495,2067,316
South Asia - World Bank region,,2019,7179,521,2178,332
South Korea,KOR,1990,60,8,10,4
South Korea,KOR,1991,68,9,11,4
South Korea,KOR,1992,76,10,12,5
South Korea,KOR,1993,86,12,14,6
South Korea,KOR,1994,108,15,17,7
South Korea,KOR,1995,148,19,22,9
South Korea,KOR,1996,170,23,27,11
South Korea,KOR,1997,181,24,31,11
South Korea,KOR,1998,186,25,34,12
South Korea,KOR,1999,167,23,36,11
South Korea,KOR,2000,133,18,37,9
South Korea,KOR,2001,111,15,36,7
South Korea,KOR,2002,95,12,35,6
South Korea,KOR,2003,84,11,34,5
South Korea,KOR,2004,76,10,33,5
South Korea,KOR,2005,69,8,32,4
South Korea,KOR,2006,63,8,30,4
South Korea,KOR,2007,59,7,29,4
South Korea,KOR,2008,56,7,28,4
South Korea,KOR,2009,58,7,28,4
South Korea,KOR,2010,58,7,28,4
South Korea,KOR,2011,58,7,27,4
South Korea,KOR,2012,60,7,28,4
South Korea,KOR,2013,61,8,28,4
South Korea,KOR,2014,61,8,29,4
South Korea,KOR,2015,64,8,29,4
South Korea,KOR,2016,66,8,30,4
South Korea,KOR,2017,64,9,32,4
South Korea,KOR,2018,66,9,34,5
South Korea,KOR,2019,69,10,36,5
South Sudan,SSD,1990,4,0,1,0
South Sudan,SSD,1991,4,0,1,0
South Sudan,SSD,1992,4,0,1,0
South Sudan,SSD,1993,4,0,1,0
South Sudan,SSD,1994,4,0,1,0
South Sudan,SSD,1995,4,0,2,0
South Sudan,SSD,1996,4,0,2,0
South Sudan,SSD,1997,4,0,2,0
South Sudan,SSD,1998,4,0,2,0
South Sudan,SSD,1999,4,0,2,0
South Sudan,SSD,2000,4,0,2,0
South Sudan,SSD,2001,4,0,1,0
South Sudan,SSD,2002,4,0,1,0
South Sudan,SSD,2003,5,0,1,0
South Sudan,SSD,2004,5,0,1,0
South Sudan,SSD,2005,5,0,2,0
South Sudan,SSD,2006,5,0,2,0
South Sudan,SSD,2007,6,0,2,0
South Sudan,SSD,2008,6,0,2,0
South Sudan,SSD,2009,6,0,2,0
South Sudan,SSD,2010,6,0,2,0
South Sudan,SSD,2011,6,0,2,0
South Sudan,SSD,2012,7,1,2,0
South Sudan,SSD,2013,7,1,2,0
South Sudan,SSD,2014,7,1,2,0
South Sudan,SSD,2015,7,1,2,0
South Sudan,SSD,2016,7,0,2,0
South Sudan,SSD,2017,7,1,2,0
South Sudan,SSD,2018,7,1,2,0
South Sudan,SSD,2019,7,1,2,0
South-East Asia Region,,1990,3510,188,761,201
South-East Asia Region,,1991,3572,192,781,210
South-East Asia Region,,1992,3635,196,796,219
South-East Asia Region,,1993,3758,205,836,233
South-East Asia Region,,1994,3915,218,887,254
South-East Asia Region,,1995,4016,227,922,275
South-East Asia Region,,1996,4221,245,987,302
South-East Asia Region,,1997,4563,271,1077,318
South-East Asia Region,,1998,4754,287,1133,324
South-East Asia Region,,1999,4942,305,1185,345
South-East Asia Region,,2000,5047,315,1217,349
South-East Asia Region,,2001,5139,323,1256,349
South-East Asia Region,,2002,5247,334,1301,353
South-East Asia Region,,2003,5311,341,1323,352
South-East Asia Region,,2004,5401,351,1363,348
South-East Asia Region,,2005,5847,383,1510,360
South-East Asia Region,,2006,5629,376,1487,348
South-East Asia Region,,2007,5570,381,1501,345
South-East Asia Region,,2008,5536,387,1530,344
South-East Asia Region,,2009,5557,398,1563,348
South-East Asia Region,,2010,5554,406,1573,351
South-East Asia Region,,2011,5550,411,1577,354
South-East Asia Region,,2012,5391,407,1563,350
South-East Asia Region,,2013,5706,430,1696,366
South-East Asia Region,,2014,5810,438,1757,374
South-East Asia Region,,2015,6082,461,1848,394
South-East Asia Region,,2016,6328,486,1946,415
South-East Asia Region,,2017,6555,507,2033,433
South-East Asia Region,,2018,6924,541,2187,463
South-East Asia Region,,2019,7204,570,2305,487
Southeast Asia,,1990,1004,85,212,115
Southeast Asia,,1991,1013,86,218,121
Southeast Asia,,1992,1034,89,226,129
Southeast Asia,,1993,1067,93,237,140
Southeast Asia,,1994,1111,99,251,156
Southeast Asia,,1995,1158,106,269,176
Southeast Asia,,1996,1223,116,290,199
Southeast Asia,,1997,1297,127,301,204
Southeast Asia,,1998,1347,136,311,205
Southeast Asia,,1999,1418,147,330,220
Southeast Asia,,2000,1454,152,338,221
Southeast Asia,,2001,1464,153,340,217
Southeast Asia,,2002,1486,156,347,216
Southeast Asia,,2003,1505,159,352,211
Southeast Asia,,2004,1505,160,355,199
Southeast Asia,,2005,1501,161,356,189
Southeast Asia,,2006,1483,160,356,182
Southeast Asia,,2007,1481,162,359,175
Southeast Asia,,2008,1488,165,365,169
Southeast Asia,,2009,1490,166,371,165
Southeast Asia,,2010,1508,170,381,164
Southeast Asia,,2011,1550,178,396,168
Southeast Asia,,2012,1596,185,413,171
Southeast Asia,,2013,1636,192,428,177
Southeast Asia,,2014,1695,202,451,187
Southeast Asia,,2015,1765,213,476,202
Southeast Asia,,2016,1839,225,500,215
Southeast Asia,,2017,1912,238,524,228
Southeast Asia,,2018,1983,252,550,243
Southeast Asia,,2019,2043,265,574,255
"Southeast Asia, East Asia, and Oceania",,1990,16150,572,6627,5667
"Southeast Asia, East Asia, and Oceania",,1991,18173,660,7447,6474
"Southeast Asia, East Asia, and Oceania",,1992,19575,731,7928,7037
"Southeast Asia, East Asia, and Oceania",,1993,20525,786,8212,7392
"Southeast Asia, East Asia, and Oceania",,1994,21730,856,8698,8022
"Southeast Asia, East Asia, and Oceania",,1995,22554,908,9010,8410
"Southeast Asia, East Asia, and Oceania",,1996,22746,934,9081,8426
"Southeast Asia, East Asia, and Oceania",,1997,22169,932,8849,8119
"Southeast Asia, East Asia, and Oceania",,1998,22144,953,8848,8082
"Southeast Asia, East Asia, and Oceania",,1999,21329,942,8506,7677
"Southeast Asia, East Asia, and Oceania",,2000,20684,943,8348,7408
"Southeast Asia, East Asia, and Oceania",,2001,18272,847,7356,6396
"Southeast Asia, East Asia, and Oceania",,2002,15476,725,6181,5172
"Southeast Asia, East Asia, and Oceania",,2003,12275,589,4835,3894
"Southeast Asia, East Asia, and Oceania",,2004,10124,500,4030,3120
"Southeast Asia, East Asia, and Oceania",,2005,9063,460,3579,2672
"Southeast Asia, East Asia, and Oceania",,2006,8251,429,3267,2376
"Southeast Asia, East Asia, and Oceania",,2007,7766,409,3101,2192
"Southeast Asia, East Asia, and Oceania",,2008,7507,406,3042,2086
"Southeast Asia, East Asia, and Oceania",,2009,7298,403,3013,2024
